date,property_id,property_name,city,base_price,available_rooms,occupied_rooms,price
2026-01-01,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-01-02,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-03,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-01-04,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-01-05,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-06,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-01-07,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-01-08,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-09,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-10,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-01-11,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-01-12,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-13,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-01-14,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-01-15,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-16,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-17,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-01-18,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-19,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-20,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-01-21,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-01-22,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-23,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-01-24,SM001,Urban Nest,Bengaluru,3500,1,1,3500
2026-01-25,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-26,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-27,SM001,Urban Nest,Bengaluru,3500,1,1,4000
2026-01-28,SM001,Urban Nest,Bengaluru,3500,1,0,4000
2026-01-29,SM001,Urban Nest,Bengaluru,3500,1,0,3500
2026-01-30,SM001,Urban Nest,Bengaluru,3500,1,1,3500
